experiment_alpha03,batch_size,local_epochs,learning_rate,alpha_alpha03,classification,model,model_base_alpha03,accuracy_alpha03,precision_alpha03,recall_alpha03,f1_score_alpha03,auc_roc_alpha03,experiment_alpha50,alpha_alpha50,model_base_alpha50,accuracy_alpha50,precision_alpha50,recall_alpha50,f1_score_alpha50,auc_roc_alpha50,acc_diff,f1_diff,auc_diff
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9556255774834751,0.9466168070196102,0.9981371666304449,0.9716945489716039,0.9932247741314538,bs1024_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.9569523087493189,0.9487361209544058,0.9974851749511007,0.9725001135108138,0.9941912012170511,0.0013267312658438168,0.0008055645392098798,0.0009664270855972434
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9579710488284489,0.9494373726335686,0.9980750721847931,0.973148876914694,0.9974293986152939,bs1024_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.9674003174678386,0.9909869741074556,0.9660653854512714,0.9783675009432776,0.9967980036635723,0.009429268639389754,0.0052186240285836405,-0.0006313949517215978
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6761591129853822,0.6880432259736625,0.6761591129853822,0.6384055853578494,0.9632361775767092,bs1024_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.738302257812315,0.7716589844648772,0.738302257812315,0.7311564393857791,0.9633284133022618,0.06214314482693273,0.09275085402792971,9.223572555261406e-05
bs1024_epoch2_lr0p0005_alpha0p3,1024,2,0.0005,0.3,Multi-class,CNN Multi,CNN,0.7474946101542325,0.7917264189819635,0.7474946101542325,0.7317032608346534,0.9785970737877923,bs1024_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.7404818877490582,0.7841751388399595,0.7404818877490582,0.7040207327945731,0.9758494645684183,-0.007012722405174254,-0.027682528040080312,-0.002747609219374003
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Binary,MLP Binary,MLP,0.953919780141676,0.9465033933313662,0.9959017665869788,0.9705744413682507,0.9926709817131856,bs1024_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.9569049254898244,0.9486271036315324,0.9975472693967524,0.972472343709802,0.992863050700115,0.0029851453481484214,0.0018979023415512941,0.00019206898692947227
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Binary,CNN Binary,CNN,0.9573313748252742,0.9490784499054821,0.9976093638424043,0.972738969197003,0.9960160219193392,bs1024_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.9631832073728351,0.9909670393029886,0.960507932565432,0.9754997792772908,0.9946034803936787,0.005851832547560942,0.0027608100802878344,-0.0014125415256605045
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Multi-class,MLP Multi,MLP,0.6834087516880286,0.6958161273119878,0.6834087516880286,0.6535572761013484,0.9536501902018835,bs1024_epoch1_lr0p0005_alpha5p0,5.0,MLP,0.6926011040299462,0.6508022849175983,0.6926011040299462,0.6472980440958352,0.9523698314195447,0.00919235234191762,-0.006259232005513149,-0.0012803587823387863
bs1024_epoch1_lr0p0005_alpha0p3,1024,1,0.0005,0.3,Multi-class,CNN Multi,CNN,0.710369826340354,0.7497509931510126,0.710369826340354,0.6814163729168153,0.9703512858294092,bs1024_epoch1_lr0p0005_alpha5p0,5.0,CNN,0.6114809637754981,0.632272845877897,0.6114809637754981,0.5716570127481077,0.9394349925771964,-0.09888886256485585,-0.10975936016870769,-0.03091629325221279
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Binary,MLP Binary,MLP,0.9567864673410884,0.9484870848708488,0.9975472693967524,0.9723987652079172,0.9936516998354498,bs512_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.9661446610912364,0.9889439573008006,0.9664379521251824,0.97756143518882,0.9959005464311217,0.009358193750148014,0.0051626699809027565,0.0022488465956719272
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Binary,CNN Binary,CNN,0.8644364945864627,0.8525489152136297,0.994318358222857,0.9179923753833806,0.9238966763947964,bs512_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.9420739652680707,0.9925857275254866,0.9310441181036356,0.9608304897390302,0.9953136281784595,0.07763747068160809,0.04283811435564955,0.07141695178366303
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.711838707384681,0.7197007361307246,0.711838707384681,0.6814190183987092,0.9756307180324187,bs512_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.790471226515672,0.8148476859575535,0.790471226515672,0.7846432688847647,0.9806299039665989,0.07863251913099101,0.10322425048605544,0.004999185934180139
bs512_epoch2_lr0p0010_alpha0p3,512,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.7554786893790424,0.8145453727367069,0.7554786893790424,0.734724243516059,0.9698548946622432,bs512_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.4025444810348504,0.5855127938342743,0.4025444810348504,0.3057574081375425,0.7131749537848926,-0.352934208344192,-0.42896683537851654,-0.2566799408773506
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Binary,MLP Binary,MLP,0.9552938946670142,0.9460167098140739,0.9983855444130523,0.9714958988534916,0.993509362290043,bs1024_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.95685754223033,0.9492076631977294,0.9968021360489304,0.9724228794693562,0.9947633161538699,0.0015636475633158398,0.0009269806158646032,0.0012539538638268732
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Binary,CNN Binary,CNN,0.9577815157904712,0.9494785357638786,0.9977645999565339,0.9730228896693714,0.9971056862988606,bs1024_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.9669027932431472,0.9899503879913497,0.9664379521251824,0.9780528804612508,0.9964406408146792,0.009121277452675991,0.00502999079187938,-0.0006650454841814479
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.7042100026060792,0.7039780655279143,0.7042100026060792,0.6719612785173343,0.9639340395829187,bs1024_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.7778909711199034,0.8044288242578764,0.7778909711199034,0.771589833041044,0.9800521118052903,0.07368096851382411,0.09962855452370967,0.016118072222371604
bs1024_epoch2_lr0p0010_alpha0p3,1024,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.7510720462460613,0.8088940359280576,0.7510720462460613,0.729591552647498,0.983698693298557,bs1024_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.800492785898742,0.8374121867888165,0.800492785898742,0.7946087683084556,0.9824564683372792,0.04942073965268068,0.06501721566095764,-0.0012422249612777936
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Binary,MLP Binary,MLP,0.9546305290340923,0.9471307120085016,0.9961501443695862,0.9710221684194598,0.9922739963985221,bs256_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.966215735980478,0.9889450109596875,0.9665310937936602,0.9776095967843236,0.9953764025582911,0.011585206946385762,0.006587428364863812,0.003102406159768978
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Binary,CNN Binary,CNN,0.889146864412803,0.9924161121843028,0.8613120556366233,0.9222279474095374,0.9908719969573723,bs256_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.9687507403634296,0.992600625119602,0.9662516687882269,0.9792489341283451,0.9970754261231332,0.07960387595062657,0.05702098671880773,0.0062034291657608875
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Multi-class,MLP Multi,MLP,0.6936435357388234,0.6993368182658428,0.6936435357388234,0.662563449476257,0.9784466477396224,bs256_epoch2_lr0p0010_alpha5p0,5.0,MLP,0.7709493236039707,0.8003791086824086,0.7709493236039707,0.7637281989068039,0.9787605821035374,0.0773057878651473,0.10116474943054687,0.00031393436391502494
bs256_epoch2_lr0p0010_alpha0p3,256,2,0.001,0.3,Multi-class,CNN Multi,CNN,0.5229453434101732,0.6253018203797831,0.5229453434101732,0.45808291429188386,0.8572665142995853,bs256_epoch2_lr0p0010_alpha5p0,5.0,CNN,0.6190385936648582,0.6677981074031085,0.6190385936648582,0.5812619356944024,0.9230795251383581,0.09609325025468507,0.12317902140251857,0.06581301083877278
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Binary,MLP Binary,MLP,0.9561941765974081,0.9476291578202406,0.997733552733708,0.972036115606237,0.994311964047316,bs512_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.9570233836385605,0.9489527635815781,0.9973299388369711,0.9725401150469271,0.9961034866031232,0.0008292070411524133,0.0005039994406900172,0.001791522555807168
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Binary,CNN Binary,CNN,0.9048307233054562,0.8895213883055156,0.9994101027663076,0.9412693539190315,0.964224521096588,bs512_epoch2_lr0p0005_alpha5p0,5.0,CNN,0.9660498945722477,0.9921325316617629,0.963146946505635,0.9774248940561148,0.9963997624887454,0.06121917126679144,0.03615554013708322,0.03217524139215744
bs512_epoch2_lr0p0005_alpha0p3,512,2,0.0005,0.3,Multi-class,MLP Multi,MLP,0.7047312184605179,0.7172833328972702,0.7047312184605179,0.6672953620403611,0.9667888732303428,bs512_epoch2_lr0p0005_alpha5p0,5.0,MLP,0.7827477552180815,0.8096461051077792,0.7827477552180815,0.7770111116758756,0.980014556640182,0.07801653675756359,0.10971574963551445,0.013225683409839206
